id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
ETH_2015_0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2015_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2015_10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2015_100,4.0,11763.5,266.32,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8327.86,2657.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,188.54,60.15,0.0,0.0
ETH_2015_101,1.0,8311.4,188.18,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8311.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,188.18,0.0,0.0
ETH_2015_102,7.0,12893.65,291.93,5.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4095.69,0.0,0.0,0,479.31,0.0,0.0,0.0,0.0,0.0,92.73,0.0,0.0,0,10.85,0.0,0.0,0.0,0.0,0.0
ETH_2015_103,384.0,170013.87,3849.4,283.0,1.0,0.0,0,6.0,0.0,1.0,2.0,3.0,0.0,78555.04,4862.8,0.0,0,7120.25,0.0,829.53,6670.03,4305.54,0.0,1778.62,110.1,0.0,0,161.21,0.0,18.78,151.02,97.48,0.0
ETH_2015_104,3.0,11336.47,256.68,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,984.9,0.0,2625.41,0.0,7726.16,0.0,0.0,0.0,0.0,0,22.3,0.0,59.44,0.0,174.94,0.0
ETH_2015_105,2.0,3813.75,86.36,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2826.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,63.99,0.0,0.0,0.0
ETH_2015_106,217.0,82253.09,1862.51,184.0,0.0,0.0,0,0.0,0.0,5.0,1.0,7.0,0.0,54131.48,0.0,0.0,0,0.0,0.0,6149.57,5456.24,7995.92,0.0,1225.73,0.0,0.0,0,0.0,0.0,139.25,123.55,181.06,0.0
