id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
MLI_2015_0,0.0,0.0,0.0,3.0,1172617.32,26996.22,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_1,0.0,0.0,0.0,1.0,17184.8,395.85,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_10,0.0,0.0,0.0,4.0,826101.2,19054.94,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_101,107.0,3227.55,75.09,5.0,366018.53,8516.05,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_102,0.0,0.0,0.0,1.0,33874.22,788.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_104,2319.0,135922.31,3163.92,13.0,2121120.8,49374.25,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0
MLI_2015_105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_106,1182.0,61650.02,1435.35,24.0,1171086.81,27265.55,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_108,0.0,0.0,0.0,8.0,61660.73,1435.77,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_109,0.0,0.0,0.0,13.0,56166.88,1307.92,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_11,0.0,0.0,0.0,2.0,110382.49,2546.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_110,0.0,0.0,0.0,9.0,347281.11,8087.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_111,0.0,0.0,0.0,2.0,341582.7,7955.88,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_112,0.0,0.0,0.0,9.0,465404.92,10840.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_114,0.0,0.0,0.0,1.0,173179.85,4034.03,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_115,0.0,0.0,0.0,12.0,184407.36,4295.81,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_117,0.0,0.0,0.0,12.0,268446.03,6254.81,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_119,0.0,0.0,0.0,2.0,2251.1,52.47,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_120,0.0,0.0,0.0,4.0,386370.62,9006.03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_121,1.0,10.5,0.24,5.0,40201.67,937.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_122,0.0,0.0,0.0,10.0,295557.73,6890.15,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_123,0.0,0.0,0.0,8.0,288555.83,6727.05,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_124,0.0,0.0,0.0,3.0,93190.57,2172.57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
