id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
MLI_2015_0,8.0,20212.78,465.34,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2548.29,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,58.67,0.0,0.0
MLI_2015_1,4.0,9485.3,218.49,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9485.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,218.49,0.0,0.0,0.0
MLI_2015_10,16.0,33523.11,773.25,0.0,0.0,0.0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25014.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,576.99,0.0,0.0,0.0
MLI_2015_100,1.0,6651.95,154.77,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_101,36.0,35534.2,826.76,0.0,0.0,0.0,0,14.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10252.81,0.0,5574.06,5322.47,0.0,0.0,0.0,0.0,0.0,0,238.55,0.0,129.69,123.84,0.0,0.0
MLI_2015_102,4.0,10836.78,252.15,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4637.48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,107.91,0.0,0.0
MLI_2015_103,3.0,12946.2,301.27,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12373.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,287.95,0.0,0.0,0.0
MLI_2015_104,173.0,80570.31,1875.47,43.0,0.0,0.0,0,107.0,0.0,7.0,2.0,0.0,0.0,11144.6,0.0,0.0,0,44835.18,0.0,5014.11,8220.97,0.0,0.0,259.42,0.0,0.0,0,1043.65,0.0,116.72,191.36,0.0,0.0
MLI_2015_105,7.0,16632.8,387.18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_106,213.0,116839.07,2720.28,14.0,0.0,0.0,0,167.0,0.0,10.0,1.0,0.0,0.0,2837.1,0.0,0.0,0,84503.53,0.0,12646.77,3553.86,0.0,0.0,66.05,0.0,0.0,0,1967.43,0.0,294.45,82.74,0.0,0.0
MLI_2015_107,2.0,9064.01,211.04,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9064.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,211.04,0.0,0.0,0.0
MLI_2015_108,124.0,79215.25,1844.52,0.0,0.0,0.0,0,39.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25505.87,0.0,6942.07,0.0,0.0,0.0,0.0,0.0,0.0,0,593.9,0.0,161.65,0.0,0.0,0.0
MLI_2015_109,80.0,69201.41,1611.44,0.0,0.0,0.0,0,56.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0,36973.57,0.0,22641.2,3362.81,0.0,0.0,0.0,0.0,0.0,0,860.98,0.0,527.23,78.31,0.0,0.0
MLI_2015_11,7.0,20099.97,463.69,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,16929.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,390.55,0.0,0.0,0.0
MLI_2015_110,2.0,9603.17,223.64,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_111,3.0,8804.4,205.07,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8511.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,198.24,0.0,0.0,0.0
MLI_2015_112,7.0,14103.91,328.52,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_113,1.0,933.37,21.74,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_114,5.0,15646.69,364.47,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11471.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,267.22,0.0,0.0,0.0
MLI_2015_115,3.0,6103.7,142.19,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142.19,0.0,0.0,0.0,0.0,0.0
MLI_2015_116,2.0,3104.9,72.33,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2318.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.0,0.0,0.0,0.0
MLI_2015_117,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_118,2.0,11143.67,259.67,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11143.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,259.67,0.0,0.0,0.0
MLI_2015_119,8.0,7098.03,165.44,5.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,1225.49,0.0,0.0,0,0.0,0.0,5872.54,0.0,0.0,0.0,28.56,0.0,0.0,0,0.0,0.0,136.87,0.0,0.0,0.0
MLI_2015_12,2.0,8520.22,196.59,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5582.99,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,128.82,0.0,0.0
MLI_2015_120,1.0,3082.01,71.84,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3082.01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71.84,0.0
MLI_2015_121,59.0,63680.07,1484.42,0.0,1.0,0.0,0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,7648.36,0.0,0,25379.63,0.0,0.0,3923.47,0.0,0.0,0.0,178.29,0.0,0,591.61,0.0,0.0,91.46,0.0,0.0
MLI_2015_122,3.0,9386.93,218.83,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_123,1.0,7616.15,177.55,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_124,3.0,11262.08,262.56,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_125,1.0,727.75,16.97,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,727.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.97,0.0,0.0
MLI_2015_126,3.0,8783.36,204.81,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4476.34,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,104.38,0.0,0.0
MLI_2015_127,36.0,24442.59,569.96,34.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,16231.55,0.0,0.0,0,0.0,0.0,0.0,0.0,7162.39,0.0,378.49,0.0,0.0,0,0.0,0.0,0.0,0.0,167.01,0.0
MLI_2015_128,146.0,93906.69,2189.96,1.0,1.0,0.0,0,91.0,0.0,1.0,0.0,0.0,0.0,284.8,8617.5,0.0,0,56521.47,0.0,4758.32,0.0,0.0,0.0,6.64,200.97,0.0,0,1318.12,0.0,110.97,0.0,0.0,0.0
MLI_2015_129,10.0,18467.95,430.72,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5580.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,130.16,0.0,0.0,0.0
MLI_2015_13,4.0,10271.39,237.02,0.0,1.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3241.57,0.0,0,0.0,0.0,5649.38,0.0,0.0,0.0,0.0,74.8,0.0,0,0.0,0.0,130.37,0.0,0.0,0.0
MLI_2015_130,6.0,10140.37,236.53,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_131,8.0,15769.05,367.83,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,866.93,0.0,8205.97,0.0,0.0,0.0,0.0,0.0,0.0,0,20.22,0.0,191.41,0.0,0.0,0.0
MLI_2015_132,88.0,74087.87,1728.29,0.0,0.0,0.0,0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,36204.46,0.0,0.0,6777.48,0.0,0.0,0.0,0.0,0.0,0,844.56,0.0,0.0,158.1,0.0,0.0
MLI_2015_133,1.0,584.53,13.64,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_134,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2015_135,9.0,13360.05,311.7,0.0,0.0,0.0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1470.18,0.0,5793.35,0.0,0.0,0.0,0.0,0.0,0.0,0,34.3,0.0,135.17,0.0,0.0,0.0
MLI_2015_136,2.0,8666.73,202.22,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1397.93,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,32.62,0.0,0.0,0.0
MLI_2015_137,1.0,5982.54,139.63,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5982.54,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,139.63,0.0,0.0,0.0
MLI_2015_138,1.0,5992.08,139.85,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5992.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,139.85,0.0,0.0
MLI_2015_139,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
