cafe,hospital,clothes,museum,comms_tower,waste_basket,recycling,camera_surveillance,courthouse,swimming_pool,university,doctors,bench,car_dealership,bicycle_shop,post_office,graveyard,car_wash,public_building,atm,sports_shop,shoe_shop,sports_centre,prison,community_centre,computer_shop,mall,hotel,pub,doityourself,drinking_water,embassy,fire_station,hairdresser,cinema,artwork,nightclub,chemist,memorial,water_well,school,optician,florist,travel_agent,outdoor_shop,pitch,post_box,pharmacy,beverages,supermarket,shelter,viewpoint,camp_site,car_rental,guesthouse,toy_shop,gift_shop,department_store,greengrocer,food_court,monument,fountain,fast_food,stadium,bookshop,water_works,kiosk,convenience,bakery,kindergarten,chalet,bar,restaurant,tower,furniture_shop,college,jeweller,beauty_shop,theatre,mobile_phone_shop,hostel,motel,dentist,track,playground,tourist_info,police,picnic_site,veterinary,bank,others,stationery,butcher,park,toilet,library,telephone,laundry,attraction,town_hall,water_tower,id
0.0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,3.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_1
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,11.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_10
1.0,5.0,0,0,0,15.0,1.0,0,0.0,0,1.0,9.0,21.0,0,0,1.0,0,7.0,7.0,1.0,0,0,0,0.0,1.0,0,0,0,2.0,0,1.0,2.0,0.0,0,0.0,0,2.0,0,0,0,76.0,0,0,0,0,0,0,13.0,0,0,0.0,0,0,1.0,0,0,0,0,0,2.0,0,1.0,8.0,0,0,0,0,0,0,8.0,0,6.0,32.0,0.0,0,6.0,0,0,0.0,0,0,0,5.0,0,0,0,8.0,0,1.0,17.0,0,0,0,0,0,0.0,1.0,0,0,0,0,MLI_2019_100
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,3.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_101
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,1.0,0,0,0,24.0,0,0,0,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1.0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_102
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,3.0,11.0,1.0,0,0,0.0,0,7.0,2.0,0.0,0,0,0,2.0,1.0,0,0,0,1.0,0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0,60.0,0,0,0,0,0,0,17.0,0,0,0.0,0,0,3.0,0,0,0,0,0,0.0,0,2.0,2.0,0,0,0,0,0,0,12.0,0,3.0,10.0,0.0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,4.0,0,0.0,8.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_103
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,3.0,9.0,0.0,0,0,0.0,0,4.0,2.0,0.0,0,0,0,2.0,0.0,0,0,0,1.0,0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0,47.0,0,0,0,0,0,0,15.0,0,0,0.0,0,0,3.0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,9.0,0,1.0,9.0,0.0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,2.0,0,0.0,3.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_104
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,3.0,9.0,0.0,0,0,0.0,0,4.0,2.0,0.0,0,0,0,2.0,0.0,0,0,0,1.0,0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0,47.0,0,0,0,0,0,0,15.0,0,0,0.0,0,0,3.0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,9.0,0,1.0,9.0,0.0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,2.0,0,0.0,3.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_105
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,3.0,9.0,0.0,0,0,0.0,0,4.0,2.0,0.0,0,0,0,2.0,0.0,0,0,0,1.0,0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0,45.0,0,0,0,0,0,0,15.0,0,0,0.0,0,0,3.0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,9.0,0,1.0,9.0,0.0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,2.0,0,0.0,3.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_106
1.0,1.0,0,0,0,0.0,0.0,0,3.0,0,3.0,9.0,0.0,0,0,0.0,0,4.0,2.0,0.0,0,0,0,2.0,0.0,0,0,0,1.0,0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0,45.0,0,0,0,0,0,0,15.0,0,0,0.0,0,0,3.0,0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,9.0,0,1.0,9.0,0.0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,2.0,0,0.0,3.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_107
1.0,8.0,0,0,0,15.0,1.0,0,1.0,0,6.0,11.0,23.0,0,0,2.0,0,26.0,15.0,5.0,0,0,0,0.0,5.0,0,0,0,3.0,0,2.0,11.0,1.0,0,0.0,0,5.0,0,0,0,158.0,0,0,0,0,0,0,32.0,0,0,0.0,0,0,3.0,0,0,0,0,0,6.0,0,2.0,14.0,0,0,0,0,0,0,13.0,0,17.0,60.0,1.0,0,22.0,0,0,2.0,0,0,0,7.0,0,0,0,12.0,0,1.0,55.0,0,0,0,0,0,3.0,1.0,0,0,0,0,MLI_2019_108
1.0,9.0,0,0,0,15.0,1.0,0,1.0,0,6.0,11.0,23.0,0,0,2.0,0,26.0,15.0,5.0,0,0,0,0.0,5.0,0,0,0,3.0,0,2.0,11.0,1.0,0,0.0,0,5.0,0,0,0,158.0,0,0,0,0,0,0,32.0,0,0,0.0,0,0,3.0,0,0,0,0,0,6.0,0,2.0,14.0,0,0,0,0,0,0,13.0,0,17.0,62.0,1.0,0,22.0,0,0,2.0,0,0,0,7.0,0,0,0,12.0,0,1.0,55.0,0,0,0,0,0,3.0,1.0,0,0,0,0,MLI_2019_109
0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,11.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,MLI_2019_11
