id,total_count,total_length,total_density,count_tertiary,count_trunk,count_residential,count_pedestrian,count_intersection,count_secondary,count_living_street,count_track,count_service,count_primary,length_tertiary,length_trunk,length_residential,length_pedestrian,length_intersection,length_secondary,length_living_street,length_track,length_service,length_primary,density_tertiary,density_trunk,density_residential,density_pedestrian,density_intersection,density_secondary,density_living_street,density_track,density_service,density_primary
MLI_2019_1,19.0,29316.93,675.55,1.0,0.0,4.0,0.0,0,1.0,0.0,0.0,0.0,2.0,1922.58,0.0,1370.47,0.0,0,6093.32,0.0,0.0,0.0,3080.27,44.3,0.0,31.58,0.0,0,140.41,0.0,0.0,0.0,70.98
MLI_2019_10,15.0,32152.02,743.94,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3968.83,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7317.0,91.83,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,169.3
MLI_2019_100,2713.0,528469.83,12362.43,69.0,32.0,2251.0,0.0,0,27.0,0.0,37.0,76.0,0.0,18103.01,14282.35,438428.72,0.0,0,7808.55,0.0,9783.62,7611.82,0.0,423.48,334.11,10256.11,0.0,0,182.66,0.0,228.87,178.06,0.0
MLI_2019_101,55.0,55139.98,1289.93,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.92,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.78,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_102,1274.0,380184.09,8894.24,12.0,0.0,1010.0,0.0,0,0.0,0.0,160.0,7.0,5.0,16784.12,0.0,262089.97,0.0,0,0.0,0.0,53051.36,940.16,3343.63,392.66,0.0,6131.48,0.0,0,0.0,0.0,1241.11,21.99,78.22
MLI_2019_103,3847.0,735421.73,17205.02,39.0,18.0,3518.0,3.0,0,9.0,0.0,20.0,33.0,36.0,14570.72,1663.24,645447.48,0.0,0,6893.86,0.0,3675.25,4220.71,20072.21,340.88,38.91,15100.09,0.0,0,161.28,0.0,85.98,98.74,469.58
MLI_2019_104,3891.0,719666.24,16836.45,35.0,0.0,3604.0,3.0,0,8.0,0.0,20.0,28.0,27.0,13895.22,0.0,636595.8,0.0,0,5072.59,0.0,3663.89,3652.92,18824.97,325.08,0.0,14893.03,0.0,0,118.67,0.0,85.72,85.46,440.41
MLI_2019_105,3893.0,718917.14,16818.87,35.0,0.0,3606.0,3.0,0,8.0,0.0,20.0,28.0,27.0,13875.92,0.0,635866.46,0.0,0,5074.26,0.0,3643.36,3652.92,18844.67,324.62,0.0,14875.93,0.0,0,118.71,0.0,85.24,85.46,440.87
MLI_2019_106,3890.0,718184.97,16801.77,35.0,0.0,3603.0,3.0,0,8.0,0.0,20.0,28.0,27.0,13858.22,0.0,635285.48,0.0,0,5042.23,0.0,3638.8,3635.88,18801.56,324.21,0.0,14862.36,0.0,0,117.96,0.0,85.13,85.06,439.86
MLI_2019_107,3892.0,717339.28,16781.99,35.0,0.0,3606.0,3.0,0,8.0,0.0,20.0,28.0,27.0,13837.6,0.0,634725.83,0.0,0,5005.46,0.0,3633.23,3514.5,18751.47,323.73,0.0,14849.27,0.0,0,117.1,0.0,85.0,82.22,438.69
MLI_2019_108,3556.0,721579.47,16881.66,125.0,69.0,2852.0,15.0,0,68.0,0.0,16.0,143.0,24.0,37591.72,20047.51,582952.0,404.12,0,20925.74,0.0,3597.54,16205.48,9475.73,879.47,469.02,13638.41,9.45,0,489.57,0.0,84.17,379.13,221.69
MLI_2019_109,3575.0,725795.77,16980.3,125.0,69.0,2867.0,15.0,0,68.0,0.0,16.0,143.0,27.0,37600.29,20502.88,585978.12,404.12,0,21025.16,0.0,3544.5,16341.12,9704.66,879.67,479.67,13709.21,9.45,0,491.89,0.0,82.93,382.31,227.04
MLI_2019_11,16.0,32723.44,757.2,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,4521.24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7592.88,104.62,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,175.7
MLI_2019_110,7.0,17984.55,420.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_111,3811.0,759659.41,17772.9,143.0,81.0,2957.0,19.0,0,122.0,0.0,21.0,150.0,59.0,40130.79,22612.61,598768.92,508.36,0,29393.74,0.0,4475.17,17220.01,13034.12,938.9,529.04,14008.73,11.89,0,687.69,0.0,104.7,402.88,304.94
MLI_2019_112,3181.0,664922.5,15556.75,75.0,26.0,2674.0,1.0,0,33.0,0.0,22.0,57.0,15.0,29239.73,10006.48,552506.83,76.12,0,15519.63,0.0,3852.24,5797.14,8183.06,684.1,234.12,12926.64,1.78,0,363.1,0.0,90.13,135.63,191.45
MLI_2019_113,3126.0,653893.29,15298.82,72.0,22.0,2610.0,3.0,0,35.0,0.0,25.0,57.0,17.0,27995.33,8544.87,539742.91,76.12,0,16673.51,0.0,4605.92,5962.1,10691.79,654.99,199.92,12628.1,1.78,0,390.1,0.0,107.76,139.49,250.15
MLI_2019_114,3137.0,659173.1,15422.4,74.0,26.0,2636.0,1.0,0,33.0,0.0,21.0,58.0,17.0,29245.71,9334.18,546508.76,76.12,0,16735.4,0.0,3807.72,6050.55,8788.36,684.25,218.39,12786.44,1.78,0,391.55,0.0,89.09,141.56,205.62
MLI_2019_115,54.0,37096.85,867.97,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73,0.0,0,0.0,0.0,0.0,0.0,0.0
MLI_2019_116,2615.0,556482.45,13020.39,115.0,16.0,2096.0,5.0,0,67.0,0.0,31.0,98.0,2.0,34598.63,10213.18,433842.24,92.66,0,21475.79,0.0,11505.35,11539.07,1122.9,809.53,238.96,10150.9,2.17,0,502.48,0.0,269.2,269.99,26.27
MLI_2019_117,3076.0,607476.87,14214.26,139.0,68.0,2289.0,14.0,0,95.0,0.0,45.0,156.0,13.0,41238.82,13836.35,452088.54,356.83,0,26768.39,0.0,14434.43,17886.1,3767.36,964.94,323.75,10578.35,8.35,0,626.35,0.0,337.75,418.51,88.15
MLI_2019_118,3057.0,605309.58,14163.56,139.0,66.0,2278.0,13.0,0,94.0,0.0,45.0,156.0,13.0,41170.72,13467.32,451135.1,329.6,0,26713.93,0.0,14463.35,17728.84,3611.24,963.35,315.12,10556.05,7.71,0,625.08,0.0,338.43,414.83,84.5
MLI_2019_119,3733.0,668907.33,15652.92,267.0,102.0,2422.0,39.0,0,140.0,10.0,31.0,229.0,124.0,57538.11,18644.19,455546.71,2378.14,0,28061.42,767.17,8697.02,24352.74,23566.34,1346.43,436.29,10660.12,55.65,0,656.66,17.95,203.52,569.87,551.47
