id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
MW_2016_0,369.0,104348.66,2543.38,19.0,2.0,0.0,0,222.0,0.0,3.0,0.0,0.0,0.0,3265.96,7058.06,0.0,0,53373.69,0.0,4534.51,0.0,0.0,0.0,79.6,172.03,0.0,0,1300.92,0.0,110.52,0.0,0.0,0.0
MW_2016_1,404.0,125584.06,3060.88,48.0,0.0,0.0,0,65.0,0.0,7.0,0.0,0.0,1.0,6533.2,0.0,0.0,0,18734.77,0.0,11761.38,0.0,0.0,13.28,159.23,0.0,0.0,0,456.63,0.0,286.66,0.0,0.0,0.32
MW_2016_10,1.0,130.56,3.17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2016_100,49.0,55053.36,1324.93,0.0,1.0,0.0,0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1982.39,0.0,0,25937.12,0.0,369.36,0.0,0.0,0.0,0.0,47.71,0.0,0,624.21,0.0,8.89,0.0,0.0,0.0
MW_2016_101,544.0,124382.73,2993.42,207.0,4.0,10.0,0,13.0,0.0,6.0,0.0,0.0,21.0,44612.13,8254.25,356.09,0,7698.19,0.0,3730.18,0.0,0.0,2194.94,1073.64,198.65,8.57,0,185.27,0.0,89.77,0.0,0.0,52.82
MW_2016_102,715.0,175929.8,4233.95,387.0,14.0,1.0,0,26.0,0.0,2.0,0.0,0.0,3.0,113030.16,11910.94,85.32,0,4205.53,0.0,322.22,0.0,0.0,400.99,2720.2,286.65,2.05,0,101.21,0.0,7.75,0.0,0.0,9.65
MW_2016_103,722.0,131471.37,3164.0,91.0,0.0,0.0,0,93.0,0.0,26.0,9.0,0.0,0.0,24259.73,0.0,0.0,0,21722.9,0.0,15009.22,8960.75,0.0,0.0,583.84,0.0,0.0,0,522.78,0.0,361.21,215.65,0.0,0.0
MW_2016_104,642.0,139366.25,3353.96,279.0,4.0,10.0,0,13.0,0.0,10.0,0.0,0.0,23.0,58759.19,8251.32,356.09,0,7698.19,0.0,5203.72,0.0,0.0,2273.81,1414.09,198.57,8.57,0,185.26,0.0,125.23,0.0,0.0,54.72
MW_2016_105,916.0,198625.9,4780.07,526.0,15.0,12.0,0,60.0,0.0,8.0,0.0,0.0,7.0,137732.78,10231.34,551.27,0,7254.37,0.0,1403.09,0.0,0.0,1351.52,3314.63,246.22,13.27,0,174.58,0.0,33.77,0.0,0.0,32.53
MW_2016_106,39.0,31824.61,765.8,2.0,0.0,0.0,0,9.0,0.0,2.0,8.0,0.0,4.0,1182.68,0.0,0.0,0,6450.42,0.0,2666.78,7574.9,0.0,1543.55,28.46,0.0,0.0,0,155.22,0.0,64.17,182.28,0.0,37.14
MW_2016_107,25.0,22140.53,532.77,1.0,0.0,0.0,0,0.0,0.0,11.0,0.0,0.0,0.0,514.19,0.0,0.0,0,0.0,0.0,14797.27,0.0,0.0,0.0,12.37,0.0,0.0,0,0.0,0.0,356.07,0.0,0.0,0.0
MW_2016_108,121.0,88980.47,2141.13,9.0,1.0,0.0,0,23.0,0.0,1.0,0.0,0.0,0.0,4096.93,7315.75,0.0,0,7760.68,0.0,4629.02,0.0,0.0,0.0,98.58,176.04,0.0,0,186.75,0.0,111.39,0.0,0.0,0.0
MW_2016_109,535.0,137488.12,3308.36,293.0,4.0,1.0,0,13.0,0.0,10.0,0.0,0.0,8.0,53355.35,8295.22,18.33,0,7685.36,0.0,3469.14,0.0,0.0,1065.03,1283.88,199.61,0.44,0,184.93,0.0,83.48,0.0,0.0,25.63
MW_2016_11,8.0,10484.67,254.6,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2016_110,793.0,172589.26,4152.82,492.0,15.0,1.0,0,60.0,0.0,7.0,0.0,0.0,4.0,111423.75,10239.47,85.32,0,9344.03,0.0,2021.02,0.0,0.0,523.94,2681.06,246.38,2.05,0,224.83,0.0,48.63,0.0,0.0,12.61
MW_2016_111,54.0,25962.61,624.71,1.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,27.24,0.0,0.0,0,0.0,0.0,0.0,9439.45,0.0,0.0,0.66,0.0,0.0,0,0.0,0.0,0.0,227.13,0.0,0.0
MW_2016_112,748.0,176785.54,4253.64,411.0,4.0,1.0,0,26.0,0.0,11.0,0.0,0.0,13.0,81766.45,8262.39,18.33,0,8621.8,0.0,6442.38,0.0,0.0,1714.8,1967.38,198.8,0.44,0,207.45,0.0,155.01,0.0,0.0,41.26
MW_2016_113,778.0,162585.58,3911.97,482.0,9.0,1.0,0,61.0,0.0,4.0,0.0,0.0,4.0,100744.27,10002.05,85.32,0,9382.41,0.0,957.57,0.0,0.0,523.94,2424.01,240.66,2.05,0,225.75,0.0,23.04,0.0,0.0,12.61
MW_2016_114,1400.0,291185.73,7005.87,737.0,21.0,31.0,0,28.0,0.0,44.0,1.0,0.0,90.0,161117.09,14006.7,1345.29,0,7100.9,0.0,21288.66,623.97,0.0,12428.24,3876.44,337.0,32.37,0,170.85,0.0,512.2,15.01,0.0,299.02
MW_2016_115,78.0,79536.19,1913.53,9.0,1.0,0.0,0,6.0,0.0,2.0,1.0,0.0,0.0,4096.93,3606.23,0.0,0,1260.43,0.0,5508.15,180.89,0.0,0.0,98.57,86.76,0.0,0,30.32,0.0,132.52,4.35,0.0,0.0
MW_2016_116,1836.0,377369.38,9078.47,913.0,45.0,30.0,0,74.0,0.0,70.0,5.0,0.0,126.0,219605.78,20064.56,1326.97,0,9826.06,0.0,35832.22,3842.0,0.0,17993.26,5283.11,482.7,31.92,0,236.39,0.0,862.02,92.43,0.0,432.87
MW_2016_117,467.0,108939.24,2620.64,10.0,0.0,0.0,0,209.0,0.0,49.0,0.0,0.0,0.0,4142.67,0.0,0.0,0,47284.14,0.0,18391.38,0.0,0.0,0.0,99.66,0.0,0.0,0,1137.47,0.0,442.42,0.0,0.0,0.0
MW_2016_118,1334.0,292991.54,7048.16,747.0,26.0,17.0,0,42.0,0.0,31.0,4.0,0.0,83.0,175546.03,13119.16,895.7,0,5779.03,0.0,22312.65,2969.59,0.0,8082.54,4222.91,315.59,21.55,0,139.02,0.0,536.75,71.44,0.0,194.43
MW_2016_119,41.0,19272.65,463.62,25.0,0.0,0.0,0,0.0,0.0,14.0,0.0,0.0,0.0,4513.65,0.0,0.0,0,0.0,0.0,14098.07,0.0,0.0,0.0,108.58,0.0,0.0,0,0.0,0.0,339.14,0.0,0.0,0.0
MW_2016_12,1.0,2894.18,70.21,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2894.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70.21,0.0,0.0,0.0,0.0,0.0
MW_2016_120,68.0,78986.15,1900.05,9.0,1.0,0.0,0,6.0,0.0,2.0,0.0,0.0,0.0,4096.93,2514.82,0.0,0,1260.43,0.0,7110.58,0.0,0.0,0.0,98.55,60.5,0.0,0,30.32,0.0,171.05,0.0,0.0,0.0
MW_2016_121,46.0,49079.92,1180.63,0.0,0.0,0.0,0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30046.16,0.0,171.18,0.0,0.0,0.0,0.0,0.0,0.0,0,722.77,0.0,4.12,0.0,0.0,0.0
MW_2016_122,1184.0,286152.66,6883.22,557.0,57.0,23.0,0,82.0,0.0,71.0,3.0,0.0,93.0,149987.77,19033.33,1293.83,0,12002.77,0.0,38891.4,4174.49,0.0,14815.74,3607.86,457.83,31.12,0,288.72,0.0,935.51,100.41,0.0,356.38
MW_2016_123,119.0,67921.12,1633.75,58.0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,1.0,13079.94,0.0,0.0,0,798.36,0.0,0.0,1791.79,0.0,122.95,314.62,0.0,0.0,0,19.2,0.0,0.0,43.1,0.0,2.96
MW_2016_124,314.0,85335.03,2052.57,7.0,0.0,0.0,0,233.0,0.0,2.0,0.0,0.0,0.0,8982.76,0.0,0.0,0,27522.35,0.0,10045.06,0.0,0.0,0.0,216.06,0.0,0.0,0,662.0,0.0,241.61,0.0,0.0,0.0
MW_2016_125,55.0,72932.87,1754.24,0.0,0.0,0.0,0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1260.43,0.0,6862.56,0.0,0.0,0.0,0.0,0.0,0.0,0,30.32,0.0,165.06,0.0,0.0,0.0
