id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
NER_2019_0,0.0,0.0,0.0,1.0,972414.54,22612.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_1,1654.0,178776.15,4159.74,3.0,9408430.23,218914.15,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
NER_2019_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_101,7.0,788.86,18.57,6.0,1250865.12,29441.12,0.0,0.0,0.0,1.0,4352.14,102.43,0.0,0.0,0.0
NER_2019_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_103,0.0,0.0,0.0,1.0,66515.05,1565.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_104,3.0,239.81,5.65,12.0,294920.99,6943.25,0.0,0.0,0.0,1.0,5922.51,139.43,0.0,0.0,0.0
NER_2019_105,193.0,9829.49,231.42,5.0,1780925.9,41929.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_106,4.0,231.52,5.45,11.0,85537.69,2013.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_107,1181.0,63735.84,1500.64,21.0,481506.17,11336.93,0.0,0.0,0.0,2.0,4699.38,110.65,2.0,0.0,0.0
NER_2019_108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_109,5.0,326.72,7.69,24.0,333547.7,7853.83,0.0,0.0,0.0,6.0,11675.0,274.9,1.0,0.0,0.0
NER_2019_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_111,0.0,0.0,0.0,30.0,906833.78,21355.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_113,0.0,0.0,0.0,17.0,147651.84,3477.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_114,1983.0,41369.08,974.26,12.0,2539992.23,59818.09,0.0,0.0,0.0,3.0,17991.13,423.7,1.0,0.0,0.0
NER_2019_115,2317.0,163158.1,3842.51,9.0,2810731.05,66195.09,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
NER_2019_116,1883.0,216635.35,5102.18,6.0,4328425.11,101942.79,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
NER_2019_117,0.0,0.0,0.0,1.0,99526.03,2344.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2019_118,704.0,131070.26,3087.02,9.0,4437930.58,104523.96,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
