id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
NG_2015_0,2.0,11661.39,261.43,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_1,1.0,2192.44,49.15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2015_10,103.0,51032.63,1145.33,48.0,0.0,0.0,0,0.0,0.0,2.0,5.0,0.0,25.0,14276.39,0.0,0.0,0,0.0,0.0,1692.77,5595.73,0.0,11373.62,320.41,0.0,0.0,0,0.0,0.0,37.99,125.59,0.0,255.26
NG_2015_100,26.0,48275.59,1086.36,0.0,0.0,0.0,0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24702.17,18939.27,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,555.88,426.2,0.0,0.0
NG_2015_101,71.0,80448.51,1810.44,28.0,0.0,0.0,0,2.0,0.0,11.0,3.0,1.0,1.0,6421.39,0.0,0.0,0,809.98,0.0,21113.8,13064.35,8026.14,182.41,144.51,0.0,0.0,0,18.23,0.0,475.15,294.0,180.62,4.1
NG_2015_102,4.0,11440.72,257.5,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3322.44,8118.28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,74.78,182.72,0.0,0.0
NG_2015_103,10.0,17017.45,383.02,0.0,0.0,0.0,0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4782.59,7728.78,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,107.64,173.96,0.0,0.0
NG_2015_104,29.0,47384.79,1066.6,2.0,0.0,0.0,0,1.0,0.0,13.0,3.0,1.0,0.0,1180.13,0.0,0.0,0,646.55,0.0,22600.19,7924.28,4973.63,0.0,26.56,0.0,0.0,0,14.55,0.0,508.71,178.37,111.95,0.0
NG_2015_105,21.0,47452.48,1068.15,0.0,0.0,0.0,0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24859.64,22573.91,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,559.59,508.14,0.0,0.0
NG_2015_106,17.0,43949.92,989.36,0.0,0.0,0.0,0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25147.87,18450.48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,566.11,415.34,0.0,0.0
