id,total_count,total_length,total_density,count_residential,count_trunk,count_pedestrian,count_intersection,count_track,count_living_street,count_tertiary,count_secondary,count_primary,count_service,length_residential,length_trunk,length_pedestrian,length_intersection,length_track,length_living_street,length_tertiary,length_secondary,length_primary,length_service,density_residential,density_trunk,density_pedestrian,density_intersection,density_track,density_living_street,density_tertiary,density_secondary,density_primary,density_service
UGA_2011_0,1.0,7426.54,165.67,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7426.54,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,165.67,0.0,0.0
UGA_2011_1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_10,3.0,13216.36,294.76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_100,1.0,8266.66,184.29,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8266.66,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,184.29,0.0,0.0
UGA_2011_101,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_102,2.0,11791.21,262.87,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11791.21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,262.87,0.0,0.0
UGA_2011_103,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_104,1.0,5250.24,117.05,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5250.24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,117.05,0.0,0.0
UGA_2011_105,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_107,2.0,11044.85,246.23,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,3595.1,0.0,0.0,0,0.0,0.0,0.0,0.0,7449.74,0.0,80.15,0.0,0.0,0,0.0,0.0,0.0,0.0,166.08,0.0
UGA_2011_108,11.0,11307.86,252.09,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2274.19,0.0,0.0,0,0.0,0.0,0.0,0.0,7353.02,0.0,50.7,0.0,0.0,0,0.0,0.0,0.0,0.0,163.93,0.0
UGA_2011_109,4.0,1929.74,43.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_110,2.0,6324.77,141.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6324.77,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,141.0,0.0
UGA_2011_111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_112,1.0,3801.89,84.76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3801.89,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.76,0.0
UGA_2011_113,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UGA_2011_114,194.0,133956.76,2986.41,30.0,0.0,0.0,0,7.0,0.0,1.0,0.0,3.0,2.0,13881.82,0.0,0.0,0,2985.98,0.0,3039.82,0.0,7175.31,654.51,309.48,0.0,0.0,0,66.57,0.0,67.77,0.0,159.97,14.59
UGA_2011_115,33.0,25000.6,557.36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2929.76,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,65.32,0.0
UGA_2011_116,164.0,115630.08,2577.84,56.0,0.0,0.0,0,5.0,0.0,2.0,4.0,1.0,1.0,28217.27,0.0,0.0,0,1439.04,0.0,557.9,7050.93,1397.81,148.12,629.07,0.0,0.0,0,32.08,0.0,12.44,157.19,31.16,3.3
UGA_2011_117,176.0,91945.96,2049.83,76.0,0.0,0.0,0,30.0,0.0,0.0,4.0,1.0,6.0,32962.81,0.0,0.0,0,7801.97,0.0,0.0,12566.64,2224.28,2607.27,734.87,0.0,0.0,0,173.94,0.0,0.0,280.16,49.59,58.13
