id,total_count,total_length,total_density,count_trunk,count_residential,count_tertiary,count_intersection,count_service,count_track,count_living_street,count_primary,count_secondary,count_pedestrian,length_trunk,length_residential,length_tertiary,length_intersection,length_service,length_track,length_living_street,length_primary,length_secondary,length_pedestrian,density_trunk,density_residential,density_tertiary,density_intersection,density_service,density_track,density_living_street,density_primary,density_secondary,density_pedestrian
UGA_2016_0,221.0,92020.05,2052.39,0.0,60.0,16.0,0,37.0,26.0,0.0,2.0,11.0,0,0.0,17407.09,21067.27,0,2584.77,2587.55,0.0,7776.07,15536.48,0,0.0,388.24,469.88,0,57.65,57.71,0.0,173.44,346.52,0
UGA_2016_1,29.0,30750.84,685.84,0.0,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,299.81,3067.88,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.69,68.42,0.0,0.0,0.0,0
UGA_2016_10,70.0,31840.49,709.89,0.0,6.0,0.0,0,0.0,42.0,0.0,0.0,0.0,0,0.0,1267.06,0.0,0,0.0,19315.0,0.0,0.0,0.0,0,0.0,28.25,0.0,0,0.0,430.63,0.0,0.0,0.0,0
UGA_2016_100,4.0,15748.26,352.41,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,8271.58,0,0.0,0.0,0.0,0.0,5614.87,0,0.0,0.0,185.1,0,0.0,0.0,0.0,0.0,125.65,0
UGA_2016_101,5.0,18540.8,415.01,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4819.22,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,107.87,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_102,31.0,40056.65,896.62,0.0,9.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,3398.78,865.93,0,0.0,0.0,0.0,0.0,8193.74,0,0.0,76.08,19.38,0,0.0,0.0,0.0,0.0,183.41,0
UGA_2016_11,17.0,42474.82,946.98,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_12,18.0,32502.71,724.64,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12528.2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,279.31,0,0.0,0.0,0.0,0.0,0.0,0
UGA_2016_13,21.0,39813.91,887.64,0.0,2.0,2.0,0,0.0,2.0,0.0,0.0,1.0,0,0.0,1328.31,7666.6,0,0.0,1317.46,0.0,0.0,6808.48,0,0.0,29.61,170.92,0,0.0,29.37,0.0,0.0,151.79,0
UGA_2016_14,3.0,14284.8,318.47,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
