id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
ETH_2018_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_10,56.0,2148.19,48.29,6.0,300552.99,6756.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_100,0.0,0.0,0.0,1.0,98774.07,2240.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_101,0.0,0.0,0.0,26.0,3058522.7,69386.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_102,0.0,0.0,0.0,5.0,1883678.16,42741.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_103,0.0,0.0,0.0,37.0,4947610.66,112266.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_104,178.0,4669.27,105.97,1.0,225808.36,5124.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_106,0.0,0.0,0.0,7.0,231085.84,5246.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_107,0.0,0.0,0.0,24.0,3170882.45,71995.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_109,36.0,1945.91,44.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_11,0.0,0.0,0.0,2.0,135450.48,3045.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_110,49.0,3975.27,90.27,22.0,3493908.44,79341.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_111,0.0,0.0,0.0,26.0,7611243.7,172872.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_2018_112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
