id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
MLI_2018_1,0.0,0.0,0.0,1.0,1120299.85,25815.0,0.0,0.0,0.0,3.0,1578.53,36.37,1.0,0.0,0.0
MLI_2018_10,0.0,0.0,0.0,1.0,5280103.28,122172.88,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_100,19470.0,2398591.92,56109.99,64.0,19271970.76,450827.03,0.0,0.0,0.0,80.0,124937.53,2922.65,25.0,70304.78,1644.63
MLI_2018_101,206.0,9529.18,222.92,4.0,780599.12,18261.11,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_102,350.0,47060.86,1100.97,25.0,5569921.08,130305.84,0.0,0.0,0.0,24.0,39806.24,931.25,1.0,0.0,0.0
MLI_2018_103,41317.0,3306710.02,77359.69,205.0,34653704.43,810715.15,0.0,0.0,0.0,62.0,118267.81,2766.85,28.0,42938.34,1004.53
MLI_2018_104,34722.0,2669126.92,62443.7,102.0,33941050.49,794044.24,0.0,0.0,0.0,54.0,71784.3,1679.38,24.0,42938.34,1004.53
MLI_2018_105,34675.0,2667021.71,62394.26,102.0,33888574.88,792814.15,0.0,0.0,0.0,54.0,71784.3,1679.37,24.0,42938.34,1004.53
MLI_2018_106,34597.0,2657597.46,62173.89,102.0,33863830.83,792236.66,0.0,0.0,0.0,54.0,71784.3,1679.38,24.0,42938.34,1004.53
MLI_2018_107,34512.0,2646160.08,61906.32,102.0,33834749.35,791556.37,0.0,0.0,0.0,54.0,71784.3,1679.38,24.0,42938.34,1004.53
MLI_2018_108,25689.0,3194674.13,74740.75,582.0,21763250.58,509160.43,0.0,0.0,0.0,171.0,289614.32,6775.65,48.0,45044.81,1053.84
MLI_2018_109,26045.0,3226529.06,75486.02,583.0,21858971.51,511399.92,0.0,0.0,0.0,171.0,290030.94,6785.4,48.0,43845.16,1025.78
MLI_2018_11,0.0,0.0,0.0,2.0,5283673.32,122261.36,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_110,0.0,0.0,0.0,2.0,43513.06,1018.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_111,29950.0,3508319.99,82080.25,593.0,22198146.07,519345.27,0.0,0.0,0.0,184.0,354880.76,8302.75,59.0,28666.56,670.68
MLI_2018_112,45639.0,5680478.47,132902.42,301.0,26968358.22,630960.95,0.0,0.0,0.0,107.0,387226.46,9059.68,29.0,0.0,0.0
MLI_2018_113,43503.0,5417000.17,126738.88,306.0,26649694.44,623509.73,0.0,0.0,0.0,93.0,185595.5,4342.29,30.0,0.0,0.0
MLI_2018_114,45064.0,5645712.48,132090.4,306.0,26259743.76,614388.36,0.0,0.0,0.0,102.0,331092.24,7746.43,29.0,0.0,0.0
MLI_2018_115,107.0,5471.51,128.02,15.0,918366.29,21487.31,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_116,20443.0,2429375.93,56841.74,97.0,15369667.89,359614.42,0.0,0.0,0.0,114.0,199438.81,4666.4,42.0,27015.17,632.09
MLI_2018_117,27062.0,2912111.76,68140.07,136.0,15573034.24,364391.12,0.0,0.0,0.0,104.0,191456.5,4479.86,43.0,25530.63,597.39
MLI_2018_118,26970.0,2892475.39,67680.65,134.0,15521316.38,363181.24,0.0,0.0,0.0,103.0,191456.5,4479.87,43.0,25530.63,597.39
MLI_2018_119,37406.0,5477359.43,128174.19,154.0,15480578.21,362256.78,0.0,0.0,0.0,93.0,346347.82,8104.79,63.0,50773.33,1188.13
MLI_2018_12,105.0,6123.26,141.7,2.0,525379.12,12158.16,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_120,31598.0,3522373.51,82426.72,142.0,15351264.96,359233.46,0.0,0.0,0.0,112.0,350692.77,8206.53,68.0,70667.97,1653.69
MLI_2018_121,31604.0,3524630.14,82479.55,142.0,15338246.84,358928.91,0.0,0.0,0.0,112.0,350692.77,8206.53,68.0,70667.97,1653.69
MLI_2018_122,1055.0,82343.56,1926.93,205.0,5952142.11,139286.86,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_123,32733.0,3782574.86,88517.75,132.0,14804395.86,346444.37,0.0,0.0,0.0,106.0,348662.62,8159.21,71.0,69274.41,1621.12
MLI_2018_124,37227.0,5252293.58,122916.16,124.0,15628899.09,365753.4,0.0,0.0,0.0,101.0,280578.43,6566.2,56.0,45610.98,1067.41
MLI_2018_125,26122.0,2889998.72,67633.54,104.0,13860544.92,324373.04,0.0,0.0,0.0,96.0,338677.85,7925.95,56.0,69274.41,1621.2
MLI_2018_126,37737.0,5256384.98,123014.15,109.0,16197760.61,379073.03,0.0,0.0,0.0,112.0,282392.88,6608.79,56.0,45610.98,1067.42
MLI_2018_127,32477.0,4960652.19,116093.78,117.0,16252172.4,380348.42,0.0,0.0,0.0,183.0,341547.24,7993.21,57.0,48844.54,1143.11
MLI_2018_128,32719.0,4704722.92,110113.22,304.0,19800866.41,463435.82,0.0,0.0,0.0,213.0,279276.47,6536.42,49.0,6623.55,155.02
MLI_2018_129,15802.0,1758502.17,41158.0,283.0,15520556.21,363260.89,0.0,0.0,0.0,168.0,257114.23,6017.8,23.0,6149.9,143.94
MLI_2018_13,0.0,0.0,0.0,1.0,454063.0,10509.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_130,15042.0,1629042.6,38128.3,279.0,14926270.69,349354.52,0.0,0.0,0.0,158.0,238051.28,5571.67,19.0,2689.1,62.94
MLI_2018_131,32360.0,4327634.38,101291.91,314.0,22799262.21,533635.82,0.0,0.0,0.0,237.0,324914.24,7604.89,45.0,6623.55,155.03
MLI_2018_132,14045.0,1386294.21,32448.18,276.0,14171089.38,331694.4,0.0,0.0,0.0,139.0,210693.74,4931.59,15.0,113.38,2.65
MLI_2018_133,1.0,260.16,6.09,7.0,740001.73,17321.82,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_134,21924.0,1954346.78,45747.62,285.0,24810684.21,580771.95,0.0,0.0,0.0,248.0,271976.48,6366.46,39.0,6149.9,143.96
