pub,college,veterinary,jeweller,laundry,police,telephone,park,swimming_pool,water_well,convenience,embassy,attraction,department_store,beauty_shop,gift_shop,hotel,camera_surveillance,butcher,school,community_centre,library,graveyard,shelter,hairdresser,optician,water_tower,theatre,car_wash,mobile_phone_shop,track,tower,sports_centre,bookshop,picnic_site,bicycle_shop,tourist_info,doctors,bench,town_hall,greengrocer,memorial,monument,artwork,camp_site,courthouse,water_works,public_building,cinema,food_court,fire_station,comms_tower,furniture_shop,stationery,mall,pharmacy,restaurant,playground,prison,bar,chemist,drinking_water,motel,museum,hostel,shoe_shop,toy_shop,recycling,pitch,supermarket,toilet,cafe,fast_food,chalet,atm,post_office,university,others,bakery,kindergarten,car_rental,guesthouse,waste_basket,post_box,nightclub,dentist,kiosk,doityourself,car_dealership,viewpoint,fountain,outdoor_shop,clothes,stadium,computer_shop,bank,florist,beverages,travel_agent,sports_shop,hospital,id
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,1.0,MLI_2018_1
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,11.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_10
2.0,5.0,1.0,0,0,8.0,1.0,0,0.0,0,0,2.0,0,0,0,0,0,0,0,68.0,1.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,6.0,4.0,0,0,0,0,0,0,0.0,0,7.0,0.0,0.0,0.0,0,0,0,0,12.0,22.0,0,0.0,3.0,0,1.0,0,0,0,0,0,1.0,0,0,0,0.0,7.0,0,1.0,1.0,1.0,0,0,6.0,1.0,0,0.0,0,1.0,5.0,0,0,0,0,2.0,0,0,0,0,16.0,0,0,0,0,7.0,MLI_2018_100
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_101
0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,24.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,5.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,1.0,0.0,0,0,0,0,0.0,0,0,0,0,1.0,0,0,0,0,0.0,MLI_2018_102
1.0,0.0,0.0,0,0,4.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,47.0,1.0,0.0,0,0.0,0,0,0,0.0,6.0,0,0,0.0,0,0,0,0,0,11.0,1.0,0,0,0,0,0,0,3.0,0,2.0,0.0,0.0,0.0,0,0,0,0,16.0,9.0,0,2.0,3.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,2.0,0,0.0,0.0,3.0,0,0,12.0,3.0,0,0.0,0,0.0,0.0,0,0,0,0,2.0,0,0,0,0,8.0,0,0,0,0,1.0,MLI_2018_103
1.0,0.0,0.0,0,0,2.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,42.0,0.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,9.0,0.0,0,0,0,0,0,0,3.0,0,2.0,0.0,0.0,0.0,0,0,0,0,14.0,8.0,0,2.0,1.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,3.0,0,0,9.0,3.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,3.0,0,0,0,0,1.0,MLI_2018_104
1.0,0.0,0.0,0,0,2.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,42.0,0.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,9.0,0.0,0,0,0,0,0,0,3.0,0,2.0,0.0,0.0,0.0,0,0,0,0,14.0,8.0,0,2.0,1.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,3.0,0,0,9.0,3.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,3.0,0,0,0,0,1.0,MLI_2018_105
1.0,0.0,0.0,0,0,2.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,42.0,0.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,9.0,0.0,0,0,0,0,0,0,3.0,0,2.0,0.0,0.0,0.0,0,0,0,0,14.0,8.0,0,2.0,1.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,3.0,0,0,9.0,3.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,3.0,0,0,0,0,1.0,MLI_2018_106
1.0,0.0,0.0,0,0,2.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,42.0,0.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,9.0,0.0,0,0,0,0,0,0,3.0,0,2.0,0.0,0.0,0.0,0,0,0,0,14.0,8.0,0,2.0,1.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,1.0,0,0.0,0.0,3.0,0,0,9.0,3.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,3.0,0,0,0,0,1.0,MLI_2018_107
3.0,19.0,1.0,0,0,12.0,1.0,0,0.0,0,0,16.0,0,0,0,0,0,0,0,136.0,3.0,3.0,0,0.0,0,0,0,2.0,12.0,0,0,1.0,0,0,0,0,0,8.0,6.0,0,0,0,0,0,0,1.0,0,21.0,0.0,2.0,1.0,0,0,0,0,28.0,42.0,0,0.0,13.0,0,2.0,0,0,0,0,0,1.0,0,0,0,0.0,11.0,0,5.0,2.0,7.0,0,0,9.0,4.0,0,0.0,0,4.0,7.0,0,0,0,0,2.0,0,0,0,0,56.0,0,0,0,0,12.0,MLI_2018_108
3.0,19.0,1.0,0,0,12.0,1.0,0,0.0,0,0,16.0,0,0,0,0,0,0,0,136.0,3.0,3.0,0,0.0,0,0,0,2.0,12.0,0,0,1.0,0,0,0,0,0,8.0,6.0,0,0,0,0,0,0,1.0,0,21.0,0.0,2.0,1.0,0,0,0,0,28.0,44.0,0,0.0,13.0,0,2.0,0,0,0,0,0,1.0,0,0,0,0.0,11.0,0,5.0,2.0,7.0,0,0,9.0,4.0,0,0.0,0,4.0,7.0,0,0,0,0,2.0,0,0,0,0,56.0,0,0,0,0,12.0,MLI_2018_109
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,11.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_11
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_110
3.0,22.0,1.0,0,0,17.0,1.0,0,0.0,0,0,18.0,0,0,0,0,0,0,0,147.0,5.0,4.0,0,0.0,0,0,0,2.0,12.0,0,0,1.0,0,0,0,0,0,9.0,7.0,0,0,0,0,0,0,2.0,0,21.0,1.0,2.0,2.0,0,0,0,0,37.0,49.0,0,1.0,14.0,0,2.0,0,0,0,0,0,2.0,0,0,0,0.0,15.0,0,7.0,2.0,7.0,0,0,8.0,4.0,0,1.0,0,4.0,8.0,0,0,0,0,2.0,0,0,0,0,62.0,0,0,0,0,13.0,MLI_2018_111
0.0,6.0,1.0,0,0,11.0,1.0,0,1.0,0,0,10.0,0,0,0,0,0,0,0,89.0,4.0,0.0,0,0.0,0,0,0,0.0,4.0,0,0,0.0,0,0,0,0,0,5.0,1.0,0,0,0,0,0,0,4.0,0,2.0,0.0,1.0,1.0,0,0,0,0,21.0,28.0,0,0.0,10.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,7.0,0,6.0,0.0,3.0,0,0,9.0,2.0,0,0.0,0,4.0,0.0,0,0,0,0,0.0,0,0,0,0,29.0,0,0,0,0,3.0,MLI_2018_112
1.0,3.0,0.0,0,0,11.0,1.0,0,1.0,0,0,10.0,0,0,0,0,0,0,0,80.0,2.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,8.0,0.0,0,0,0,0,0,0,3.0,0,2.0,0.0,1.0,1.0,0,0,0,0,20.0,22.0,0,0.0,7.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,7.0,0,2.0,0.0,1.0,0,0,9.0,3.0,0,0.0,0,2.0,0.0,0,0,0,0,0.0,0,0,0,0,25.0,0,0,0,0,2.0,MLI_2018_113
1.0,4.0,0.0,0,0,11.0,1.0,0,1.0,0,0,10.0,0,0,0,0,0,0,0,85.0,2.0,0.0,0,0.0,0,0,0,0.0,3.0,0,0,0.0,0,0,0,0,0,6.0,1.0,0,0,0,0,0,0,3.0,0,2.0,0.0,1.0,1.0,0,0,0,0,21.0,27.0,0,0.0,10.0,0,2.0,0,0,0,0,0,0.0,0,0,0,1.0,7.0,0,5.0,0.0,3.0,0,0,10.0,2.0,0,0.0,0,4.0,0.0,0,0,0,0,0.0,0,0,0,0,27.0,0,0,0,0,2.0,MLI_2018_114
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,5.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_115
2.0,19.0,2.0,0,0,7.0,0.0,0,0.0,0,0,13.0,0,0,0,0,0,0,0,81.0,2.0,2.0,0,0.0,0,0,0,1.0,11.0,0,0,0.0,0,0,0,0,0,5.0,6.0,0,0,0,0,0,0,1.0,0,21.0,1.0,2.0,1.0,0,0,0,0,24.0,31.0,0,0.0,9.0,0,1.0,0,0,0,0,0,1.0,0,0,0,0.0,12.0,0,4.0,2.0,6.0,0,0,8.0,1.0,0,0.0,0,2.0,4.0,0,0,0,0,0.0,0,0,0,0,33.0,0,0,0,0,13.0,MLI_2018_116
1.0,19.0,2.0,0,0,15.0,0.0,0,0.0,0,0,16.0,0,0,0,0,0,0,0,72.0,2.0,3.0,0,0.0,0,0,0,1.0,12.0,0,0,0.0,0,0,0,0,0,6.0,2.0,0,0,0,0,0,0,1.0,0,20.0,2.0,2.0,2.0,0,0,0,0,25.0,34.0,0,0.0,9.0,0,1.0,0,0,0,0,0,1.0,0,0,0,0.0,12.0,0,4.0,2.0,6.0,0,0,7.0,2.0,0,0.0,0,3.0,4.0,0,0,0,0,2.0,0,0,0,0,40.0,0,0,0,0,12.0,MLI_2018_117
1.0,19.0,2.0,0,0,15.0,0.0,0,0.0,0,0,16.0,0,0,0,0,0,0,0,71.0,2.0,3.0,0,0.0,0,0,0,1.0,12.0,0,0,0.0,0,0,0,0,0,6.0,2.0,0,0,0,0,0,0,1.0,0,20.0,2.0,2.0,2.0,0,0,0,0,25.0,30.0,0,0.0,9.0,0,1.0,0,0,0,0,0,1.0,0,0,0,0.0,12.0,0,4.0,2.0,6.0,0,0,7.0,2.0,0,0.0,0,3.0,4.0,0,0,0,0,2.0,0,0,0,0,39.0,0,0,0,0,12.0,MLI_2018_118
2.0,13.0,0.0,0,0,25.0,1.0,0,1.0,0,0,31.0,0,0,0,0,0,0,0,74.0,4.0,3.0,0,0.0,0,0,0,0.0,7.0,0,0,1.0,0,0,0,0,0,8.0,6.0,0,0,0,0,0,0,0.0,0,10.0,2.0,0.0,2.0,0,0,0,0,39.0,61.0,0,1.0,12.0,0,1.0,0,0,0,0,0,2.0,0,0,0,3.0,9.0,0,9.0,6.0,4.0,0,0,2.0,2.0,0,1.0,0,6.0,0.0,0,0,0,0,1.0,0,0,0,0,51.0,0,0,0,0,16.0,MLI_2018_119
0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MLI_2018_12
1.0,24.0,1.0,0,0,25.0,1.0,0,0.0,0,0,26.0,0,0,0,0,0,0,0,73.0,4.0,5.0,0,0.0,0,0,0,1.0,11.0,0,0,1.0,0,0,0,0,0,8.0,7.0,0,0,0,0,0,0,1.0,0,25.0,2.0,2.0,3.0,0,0,0,0,40.0,44.0,0,1.0,10.0,0,0.0,0,0,0,0,0,2.0,0,0,0,1.0,13.0,0,6.0,6.0,9.0,0,0,6.0,2.0,0,1.0,0,3.0,3.0,0,0,0,0,2.0,0,0,0,0,50.0,0,0,0,0,20.0,MLI_2018_120
1.0,24.0,1.0,0,0,25.0,1.0,0,0.0,0,0,26.0,0,0,0,0,0,0,0,73.0,4.0,5.0,0,0.0,0,0,0,1.0,11.0,0,0,1.0,0,0,0,0,0,8.0,7.0,0,0,0,0,0,0,1.0,0,25.0,2.0,2.0,3.0,0,0,0,0,40.0,44.0,0,1.0,10.0,0,0.0,0,0,0,0,0,2.0,0,0,0,1.0,13.0,0,6.0,6.0,9.0,0,0,6.0,2.0,0,1.0,0,3.0,3.0,0,0,0,0,2.0,0,0,0,0,50.0,0,0,0,0,20.0,MLI_2018_121
