id,total_count,total_length,total_density,count_primary,count_residential,count_intersection,count_pedestrian,count_track,count_service,count_living_street,count_secondary,count_tertiary,count_trunk,length_primary,length_residential,length_intersection,length_pedestrian,length_track,length_service,length_living_street,length_secondary,length_tertiary,length_trunk,density_primary,density_residential,density_intersection,density_pedestrian,density_track,density_service,density_living_street,density_secondary,density_tertiary,density_trunk
MLI_2018_1,12.0,18298.46,421.65,2.0,4.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3079.73,1370.47,0,0.0,0.0,0.0,0.0,6093.32,0.0,0.0,70.97,31.58,0,0.0,0.0,0.0,0.0,140.41,0.0,0.0
MLI_2018_10,8.0,20048.75,463.9,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7304.58,0.0,0,0.0,0.0,0.0,0.0,10.35,3968.83,0.0,169.02,0.0,0,0.0,0.0,0.0,0.0,0.24,91.83,0.0
MLI_2018_100,2516.0,517758.01,12111.85,13.0,2101.0,0,0.0,39.0,73.0,0.0,18.0,50.0,0.0,14303.01,423984.96,0,0.0,9986.65,7447.03,0.0,7805.97,19095.25,0.0,334.59,9918.23,0,0.0,233.62,174.21,0.0,182.6,446.69,0.0
MLI_2018_101,6.0,14792.18,346.04,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_102,578.0,251973.72,5894.81,3.0,195.0,0,0.0,238.0,17.0,0.0,0.0,2.0,0.0,3346.25,72592.22,0,0.0,87355.99,5649.35,0.0,0.0,4424.92,0.0,78.28,1698.26,0,0.0,2043.65,132.16,0.0,0.0,103.52,0.0
MLI_2018_103,3509.0,695564.13,16272.56,14.0,3184.0,0,3.0,60.0,33.0,0.0,5.0,33.0,5.0,20072.96,583521.22,0,0.0,23212.41,4454.81,0.0,6790.93,14842.53,1663.24,469.6,13651.34,0,0.0,543.05,104.22,0.0,158.87,347.24,38.91
MLI_2018_104,3406.0,655511.99,15335.57,12.0,3093.0,0,3.0,61.0,28.0,0.0,4.0,29.0,0.0,18825.35,543873.22,0,0.0,24631.29,3887.17,0.0,4969.66,13819.6,0.0,440.42,12723.81,0,0.0,576.24,90.94,0.0,116.26,323.31,0.0
MLI_2018_105,3408.0,654783.96,15318.5,12.0,3095.0,0,3.0,61.0,28.0,0.0,4.0,29.0,0.0,18844.99,543156.51,0,0.0,24610.75,3887.17,0.0,4971.33,13801.03,0.0,440.87,12707.0,0,0.0,575.76,90.94,0.0,116.3,322.87,0.0
MLI_2018_106,3403.0,653621.44,15291.33,12.0,3090.0,0,3.0,61.0,28.0,0.0,4.0,29.0,0.0,18801.9,542113.99,0,0.0,24606.19,3870.14,0.0,4939.3,13783.48,0.0,439.87,12682.63,0,0.0,575.66,90.54,0.0,115.55,322.46,0.0
MLI_2018_107,3405.0,652288.58,15260.14,12.0,3092.0,0,3.0,61.0,28.0,0.0,4.0,29.0,0.0,18751.85,541027.34,0,0.0,24600.62,3748.75,0.0,4902.53,13763.05,0.0,438.7,12657.21,0,0.0,575.53,87.7,0.0,114.69,321.98,0.0
MLI_2018_108,3265.0,713177.99,16685.1,37.0,2654.0,0,5.0,16.0,147.0,0.0,47.0,88.0,17.0,26127.1,571925.56,0,0.0,3843.32,17192.3,0.0,20929.29,37762.52,3403.25,611.25,13380.44,0,0.0,89.92,402.22,0.0,489.65,883.47,79.62
MLI_2018_109,3285.0,717421.15,16784.37,39.0,2669.0,0,5.0,16.0,149.0,0.0,47.0,88.0,17.0,26346.74,574960.18,0,0.0,3794.09,17392.82,0.0,21031.22,37722.03,3871.26,616.39,13451.44,0,0.0,88.76,406.91,0.0,492.03,882.52,90.57
MLI_2018_11,9.0,21977.29,508.54,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7583.37,0.0,0,0.0,0.0,0.0,0.0,10.35,4521.24,0.0,175.47,0.0,0,0.0,0.0,0.0,0.0,0.24,104.62,0.0
MLI_2018_110,5.0,14086.96,329.57,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI_2018_111,3432.0,750043.46,17547.93,58.0,2735.0,0,5.0,21.0,155.0,0.0,67.0,98.0,27.0,28078.72,588090.31,0,0.0,4990.4,18189.16,0.0,29001.77,39731.81,7579.24,656.93,13758.89,0,0.0,116.75,425.55,0.0,678.52,929.56,177.32
MLI_2018_112,2966.0,650390.39,15216.76,8.0,2482.0,0,1.0,19.0,49.0,0.0,29.0,69.0,17.0,8202.35,534923.15,0,76.12,3531.16,5162.06,0.0,15524.97,28554.07,10006.45,191.9,12515.25,0,1.78,82.62,120.77,0.0,363.23,668.06,234.11
MLI_2018_113,2913.0,640273.7,14980.17,10.0,2413.0,0,3.0,22.0,53.0,0.0,29.0,68.0,13.0,10692.58,523128.77,0,76.12,4285.8,5668.98,0.0,16678.89,27304.15,8544.84,250.17,12239.39,0,1.78,100.27,132.63,0.0,390.23,638.82,199.92
