id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
MW_2019_0,942.0,30303.5,738.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_1,1168.0,39770.19,969.05,59.0,1511854.05,36838.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_10,2331.0,117669.43,2857.98,3.0,72.33,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_100,11.0,798.41,19.21,3.0,607531.54,14619.92,0.0,0.0,0.0,1.0,5660.65,136.22,0.0,0.0,0.0
MW_2019_101,16.0,2833.83,68.19,3.0,1740698.33,41888.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_102,29164.0,2543257.26,61201.04,15.0,14382132.18,346092.2,0.0,0.0,0.0,9.0,94723.5,2279.43,2.0,4364.86,105.04
MW_2019_103,31914.0,2594181.04,62426.2,9.0,7703962.29,185387.63,0.0,0.0,0.0,2.0,91476.14,2201.28,1.0,0.0,0.0
MW_2019_104,23167.0,1916192.59,46110.51,14.0,9432053.67,226969.24,0.0,0.0,0.0,5.0,72067.45,1734.2,0.0,0.0,0.0
MW_2019_105,37712.0,3389376.01,81559.6,15.0,15593102.3,375221.65,0.0,0.0,0.0,14.0,204065.15,4910.48,6.0,13969.4,336.15
MW_2019_106,2974.0,145730.64,3506.7,66.0,639682.13,15392.61,0.0,0.0,0.0,9.0,13667.38,328.88,0.0,0.0,0.0
MW_2019_107,31870.0,2466674.92,59353.9,6.0,8346361.04,200832.75,0.0,0.0,0.0,1.0,594.91,14.31,0.0,0.0,0.0
MW_2019_108,17410.0,1133399.21,27271.99,14.0,5670072.37,136433.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_109,345.0,18860.6,453.8,2.0,363486.6,8745.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_11,719.0,20025.7,486.21,2.0,1481.65,35.97,0.0,0.0,0.0,2.0,3989.18,96.85,0.0,0.0,0.0
MW_2019_110,39713.0,3682309.81,88597.49,16.0,11095757.27,266967.29,0.0,0.0,0.0,6.0,110129.6,2649.75,3.0,8011.14,192.75
MW_2019_111,28216.0,3836634.81,92301.42,45.0,20051793.74,482404.26,0.0,0.0,0.0,24.0,309477.26,7445.38,31.0,215562.43,5185.98
MW_2019_112,21331.0,2464243.83,59283.08,46.0,15851803.17,381351.73,0.0,0.0,0.0,13.0,80083.32,1926.59,8.0,659.22,15.86
MW_2019_113,28997.0,2825991.41,67983.44,22.0,8750434.87,210504.76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MW_2019_114,70.0,6650.49,159.98,2.0,321686.28,7738.49,0.0,0.0,0.0,1.0,1218875.01,29321.26,1.0,0.0,0.0
MW_2019_115,8298.0,627558.98,15096.36,28.0,5260667.96,126548.98,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MW_2019_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_117,17.0,1268.32,30.51,3.0,5899.46,141.9,0.0,0.0,0.0,1.0,6538.1,157.27,0.0,0.0,0.0
MW_2019_118,25.0,2313.65,55.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_119,1088.0,42497.3,1022.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_12,1695.0,73100.55,1774.32,41.0,673.99,16.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_120,34656.0,3396709.55,81694.01,33.0,10477183.0,251985.94,0.0,0.0,0.0,6.0,64108.12,1541.86,4.0,7469.4,179.65
MW_2019_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MW_2019_122,38607.0,4407239.21,105991.32,49.0,20605547.2,495550.38,0.0,0.0,0.0,23.0,341334.22,8208.87,30.0,212589.27,5112.64
