id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
MW_2019_0,137.0,42569.1,1037.56,0,0.0,3.0,0.0,0.0,38.0,0.0,22.0,0.0,0.0,0,0.0,2694.42,0.0,0.0,17928.46,0.0,5366.33,0.0,0.0,0,0.0,65.67,0.0,0.0,436.98,0.0,130.8,0.0,0.0
MW_2019_1,326.0,103149.26,2513.36,0,0.0,0.0,0.0,0.0,78.0,0.0,17.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39986.16,0.0,4840.74,0.0,0.0,0,0.0,0.0,0.0,0.0,974.31,0.0,117.95,0.0,0.0
MW_2019_10,401.0,114242.97,2774.76,0,0.0,5.0,0.0,0.0,8.0,0.0,61.0,0.0,0.0,0,0.0,6821.38,0.0,0.0,1346.3,0.0,33539.89,0.0,0.0,0,0.0,165.68,0.0,0.0,32.7,0.0,814.62,0.0,0.0
MW_2019_100,132.0,64772.42,1558.71,0,0.0,0.0,0.0,0.0,6.0,17.0,83.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1518.29,16033.15,32586.58,0.0,298.4,0,0.0,0.0,0.0,0.0,36.54,385.83,784.18,0.0,7.18
MW_2019_101,83.0,52178.22,1255.62,0,0.0,0.0,0.0,0.0,7.0,10.0,38.0,0.0,8.0,0,0.0,0.0,0.0,0.0,3269.29,9793.13,21571.76,0.0,6929.79,0,0.0,0.0,0.0,0.0,78.67,235.66,519.11,0.0,166.76
MW_2019_102,1631.0,302646.87,7282.91,0,0.0,3.0,0.0,0.0,153.0,10.0,940.0,35.0,3.0,0,0.0,5122.63,0.0,0.0,17020.73,12966.02,178855.2,2880.77,3209.37,0,0.0,123.27,0.0,0.0,409.59,312.01,4303.98,69.32,77.23
MW_2019_103,1577.0,281481.0,6773.54,0,0.0,19.0,4.0,0.0,100.0,4.0,616.0,27.0,0.0,0,0.0,5860.81,6780.26,0.0,12247.4,2984.29,134651.62,4276.04,0.0,0,0.0,141.03,163.16,0.0,294.72,71.81,3240.25,102.9,0.0
MW_2019_104,1118.0,243607.87,5862.08,0,0.0,3.0,0.0,0.0,69.0,2.0,687.0,11.0,2.0,0,0.0,8036.77,0.0,0.0,8489.28,3089.03,147929.47,833.06,304.08,0,0.0,193.39,0.0,0.0,204.28,74.33,3559.72,20.05,7.32
MW_2019_105,2150.0,368496.64,8867.25,0,0.0,20.0,3.0,0.0,169.0,15.0,1172.0,93.0,32.0,0,0.0,9910.36,381.83,0.0,22497.16,16478.02,209971.87,11869.45,10799.7,0,0.0,238.48,9.19,0.0,541.36,396.52,5052.62,285.62,259.88
MW_2019_106,1021.0,214612.4,5164.2,0,0.0,0.0,0.0,0.0,395.0,12.0,142.0,1.0,7.0,0,0.0,0.0,0.0,0.0,63650.65,23907.32,57771.55,183.58,7266.37,0,0.0,0.0,0.0,0.0,1531.62,575.28,1390.15,4.42,174.85
MW_2019_107,1723.0,294088.67,7076.45,0,0.0,7.0,2.0,0.0,109.0,8.0,641.0,20.0,0.0,0,0.0,1876.51,7185.91,0.0,11560.4,4318.93,130552.69,3825.47,0.0,0,0.0,45.15,172.91,0.0,278.17,103.92,3141.4,92.05,0.0
MW_2019_108,1486.0,254667.96,6127.85,0,0.0,0.0,1.0,0.0,106.0,6.0,428.0,2.0,0.0,0,0.0,0.0,7161.68,0.0,14340.79,3626.06,84297.27,420.88,0.0,0,0.0,0.0,172.33,0.0,345.07,87.25,2028.37,10.13,0.0
MW_2019_109,89.0,48641.63,1170.34,0,0.0,0.0,0.0,0.0,1.0,5.0,33.0,0.0,4.0,0,0.0,0.0,0.0,0.0,69.14,3727.11,20692.39,0.0,9675.31,0,0.0,0.0,0.0,0.0,1.66,89.68,497.87,0.0,232.79
MW_2019_11,203.0,78146.42,1897.33,0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8572.28,0.0,209.16,0.0,0.0,0,0.0,0.0,0.0,0.0,208.13,0.0,5.08,0.0,0.0
MW_2019_110,1523.0,298462.04,7181.09,0,0.0,38.0,4.0,0.0,115.0,10.0,733.0,74.0,16.0,0,0.0,16022.46,5501.8,0.0,20294.18,7807.62,146294.1,12299.97,3243.2,0,0.0,385.51,132.37,0.0,488.28,187.85,3519.88,295.94,78.03
MW_2019_111,1798.0,341712.38,8220.89,0,0.0,35.0,7.0,0.0,76.0,23.0,983.0,211.0,4.0,0,0.0,17195.57,4203.96,0.0,9134.92,10150.07,194861.41,24337.85,6225.84,0,0.0,413.69,101.14,0.0,219.77,244.19,4687.96,585.52,149.78
MW_2019_112,1360.0,274272.06,6598.25,0,0.0,26.0,4.0,0.0,65.0,15.0,785.0,74.0,2.0,0,0.0,9411.93,2718.0,0.0,8777.77,8478.99,165953.92,8002.73,918.62,0,0.0,226.43,65.39,0.0,211.17,203.98,3992.4,192.52,22.1
MW_2019_113,1170.0,242334.36,5829.71,0,0.0,31.0,4.0,0.0,80.0,11.0,472.0,62.0,6.0,0,0.0,14044.71,6247.84,0.0,17519.07,12865.02,91856.15,11389.55,1237.55,0,0.0,337.87,150.3,0.0,421.45,309.49,2209.74,273.99,29.77
MW_2019_114,195.0,97044.43,2334.5,0,0.0,0.0,1.0,0.0,6.0,2.0,23.0,0.0,0.0,0,0.0,0.0,386.8,0.0,1260.43,7419.87,11378.54,0.0,0.0,0,0.0,0.0,9.3,0.0,30.32,178.49,273.72,0.0,0.0
MW_2019_115,788.0,167414.54,4027.27,0,0.0,0.0,0.0,0.0,132.0,4.0,348.0,7.0,0.0,0,0.0,0.0,0.0,0.0,18745.13,7785.56,72410.01,1642.39,0.0,0,0.0,0.0,0.0,0.0,450.93,187.29,1741.87,39.51,0.0
MW_2019_116,122.0,108389.21,2607.32,0,0.0,0.0,0.0,0.0,0.0,2.0,112.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,758.51,98126.35,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.25,2360.45,0.0,0.0
MW_2019_117,60.0,46136.23,1109.76,0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1260.02,23844.44,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,30.31,573.55,0.0,0.0
MW_2019_118,83.0,75577.3,1817.8,0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7865.74,51606.07,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,189.19,1241.24,0.0,0.0
MW_2019_119,246.0,126067.96,3032.19,0,0.0,0.0,0.0,0.0,8.0,4.0,205.0,0.0,2.0,0,0.0,0.0,0.0,0.0,1696.03,10560.38,78008.36,0.0,5088.11,0,0.0,0.0,0.0,0.0,40.79,254.0,1876.26,0.0,122.38
MW_2019_12,196.0,81170.36,1970.19,0,0.0,15.0,0.0,0.0,5.0,0.0,45.0,0.0,0.0,0,0.0,7993.06,0.0,0.0,4036.64,0.0,39514.06,0.0,0.0,0,0.0,194.01,0.0,0.0,97.98,0.0,959.1,0.0,0.0
MW_2019_120,1401.0,263401.35,6335.05,0,0.0,35.0,5.0,0.0,171.0,6.0,537.0,107.0,23.0,0,0.0,15369.18,1639.66,0.0,31593.52,9973.56,97339.51,13478.04,4968.25,0,0.0,369.64,39.44,0.0,759.85,239.87,2341.11,324.16,119.49
MW_2019_121,103.0,89973.87,2163.94,0,0.0,0.0,0.0,0.0,0.0,4.0,71.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8199.77,48117.37,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,197.21,1157.26,0.0,0.0
MW_2019_122,1708.0,333909.85,8030.32,0,0.0,65.0,12.0,0.0,177.0,19.0,688.0,284.0,5.0,0,0.0,32794.03,5868.92,0.0,29579.69,10003.45,147103.02,32882.72,2304.39,0,0.0,788.68,141.14,0.0,711.37,240.58,3537.73,790.81,55.42
MW_2019_123,181.0,100933.8,2427.39,0,0.0,0.0,0.0,0.0,3.0,2.0,80.0,0.0,1.0,0,0.0,0.0,0.0,0.0,362.83,2276.31,25318.88,0.0,1070.1,0,0.0,0.0,0.0,0.0,8.73,54.74,608.9,0.0,25.74
MW_2019_124,165.0,94988.36,2284.38,0,0.0,0.0,0.0,0.0,1.0,2.0,56.0,0.0,1.0,0,0.0,0.0,0.0,0.0,117.04,2626.78,19706.57,0.0,689.7,0,0.0,0.0,0.0,0.0,2.81,63.17,473.92,0.0,16.59
MW_2019_125,269.0,84802.83,2039.38,0,0.0,0.0,0.0,0.0,68.0,5.0,20.0,1.0,3.0,0,0.0,0.0,0.0,0.0,13223.88,12787.9,11772.58,17.88,7880.38,0,0.0,0.0,0.0,0.0,318.01,307.53,283.11,0.43,189.51
MW_2019_126,202.0,86307.05,2075.55,0,0.0,0.0,0.0,0.0,5.0,4.0,66.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1537.53,10741.32,29033.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.98,258.31,698.2,0.0,0.0
MW_2019_127,1066.0,202829.92,4877.64,0,0.0,1.0,1.0,0.0,172.0,4.0,475.0,15.0,2.0,0,0.0,4844.18,757.38,0.0,33572.16,9097.81,81634.95,2215.03,325.42,0,0.0,116.49,18.21,0.0,807.34,218.78,1963.15,53.27,7.83
MW_2019_128,1938.0,366172.37,8805.61,0,0.0,52.0,3.0,0.0,116.0,35.0,1045.0,180.0,1.0,0,0.0,24759.62,1990.96,0.0,14672.21,21820.76,210110.45,21715.8,1324.76,0,0.0,595.41,47.88,0.0,352.83,524.74,5052.68,522.22,31.86
MW_2019_129,1305.0,260144.5,6255.8,0,0.0,28.0,4.0,0.0,179.0,4.0,602.0,106.0,1.0,0,0.0,11730.85,2313.73,0.0,30028.32,10547.34,115552.91,14710.92,383.35,0,0.0,282.1,55.64,0.0,722.1,253.64,2778.75,353.76,9.22
MW_2019_13,324.0,87735.38,2128.26,0,0.0,9.0,0.0,0.0,21.0,0.0,8.0,1.0,0.0,0,0.0,5265.42,0.0,0.0,10729.35,0.0,3451.51,423.83,0.0,0,0.0,127.73,0.0,0.0,260.27,0.0,83.73,10.28,0.0
MW_2019_130,121.0,97738.57,2350.34,0,0.0,0.0,0.0,0.0,1.0,5.0,97.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.32,8404.59,68765.92,0.0,0.0,0,0.0,0.0,0.0,0.0,1.02,202.11,1653.63,0.0,0.0
MW_2019_131,60.0,58677.63,1410.96,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32882.04,0.0,619.39,0,0.0,0.0,0.0,0.0,0.0,0.0,790.68,0.0,14.89
