id,total_count,total_length,total_density,count_tertiary,count_trunk,count_pedestrian,count_secondary,count_service,count_track,count_residential,count_living_street,count_primary,count_intersection,length_tertiary,length_trunk,length_pedestrian,length_secondary,length_service,length_track,length_residential,length_living_street,length_primary,length_intersection,density_tertiary,density_trunk,density_pedestrian,density_secondary,density_service,density_track,density_residential,density_living_street,density_primary,density_intersection
NER_2011_0,3.0,12793.41,297.65,0.0,0.0,0,1.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0,4564.45,294.47,0.0,0.0,0,7934.49,0,0.0,0.0,0,106.2,6.85,0.0,0.0,0,184.61,0
NER_2011_1,3.0,14422.83,335.57,0.0,0.0,0,1.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0,6410.58,294.47,0.0,0.0,0,7717.79,0,0.0,0.0,0,149.15,6.85,0.0,0.0,0,179.57,0
NER_2011_10,11.0,18858.94,442.69,2.0,2.0,0,2.0,0.0,0.0,0.0,0,1.0,0,2454.16,4304.82,0,5472.1,0.0,0.0,0.0,0,5659.84,0,57.61,101.05,0,128.45,0.0,0.0,0.0,0,132.86,0
NER_2011_100,871.0,353922.9,8340.98,70.0,0.0,0,21.0,10.0,29.0,704.0,0,25.0,0,51106.38,0.0,0,24223.23,2060.25,16145.38,237833.51,0,17867.29,0,1204.44,0.0,0,570.87,48.55,380.5,5605.08,0,421.08,0
NER_2011_101,1082.0,483469.84,11394.05,105.0,4.0,0,33.0,35.0,10.0,872.0,0,15.0,0,91111.1,652.95,0,35968.41,11395.13,9819.79,325926.56,0,6052.29,0,2147.24,15.39,0,847.68,268.55,231.43,7681.19,0,142.64,0
NER_2011_102,1155.0,498472.02,11747.72,114.0,2.0,0,23.0,11.0,15.0,949.0,0,27.0,0,81788.12,83.18,0,33960.35,2413.62,8316.06,349387.88,0,17531.35,0,1927.54,1.96,0,800.36,56.88,195.99,8234.18,0,413.17,0
NER_2011_103,1332.0,572425.27,13490.68,135.0,0.0,0,31.0,6.0,9.0,1126.0,0,17.0,0,111553.44,0.0,0,41259.48,1884.46,4682.25,399829.0,0,10669.97,0,2629.04,0.0,0,972.39,44.41,110.35,9423.0,0,251.47,0
NER_2011_104,323.0,164105.07,3867.62,8.0,0.0,0,2.0,5.0,50.0,244.0,0,4.0,0,18050.13,0.0,0,620.46,472.08,44518.99,86443.26,0,9528.44,0,425.4,0.0,0,14.62,11.13,1049.22,2037.29,0,224.57,0
NER_2011_105,923.0,410665.39,9678.63,80.0,0.0,0,19.0,20.0,13.0,778.0,0,2.0,0,75014.78,0.0,0,20405.84,8560.01,18075.1,281887.97,0,1700.67,0,1767.96,0.0,0,480.93,201.74,426.0,6643.58,0,40.08,0
NER_2011_106,986.0,442410.23,10426.92,87.0,0.0,0,22.0,12.0,12.0,837.0,0,7.0,0,78113.34,0.0,0,24427.54,5917.59,17241.81,310165.39,0,3017.39,0,1841.01,0.0,0,575.72,139.47,406.36,7310.12,0,71.12,0
NER_2011_107,717.0,305220.19,7193.75,60.0,0.0,0,13.0,3.0,16.0,614.0,0,0.0,0,56696.13,0.0,0,15404.35,1245.13,27856.39,199735.78,0,0.0,0,1336.27,0.0,0,363.07,29.35,656.55,4707.58,0,0.0,0
NER_2011_108,869.0,360539.55,8497.6,57.0,0.0,0,18.0,10.0,29.0,723.0,0,20.0,0,48398.65,0.0,0,24976.98,2060.25,21514.99,242666.09,0,16235.73,0,1140.71,0.0,0,588.69,48.56,507.09,5719.43,0,382.66,0
NER_2011_109,64.0,65605.75,1546.28,2.0,0.0,0,0.0,0.0,41.0,20.0,0,1.0,0,13867.74,0.0,0,0.0,0.0,41723.7,6855.1,0,3159.21,0,326.85,0.0,0,0.0,0.0,983.4,161.57,0,74.46,0
NER_2011_11,11.0,25818.17,606.08,2.0,2.0,0,2.0,0.0,0.0,0.0,0,1.0,0,6101.1,6780.0,0,9323.3,0.0,0.0,0.0,0,2645.76,0,143.22,159.16,0,218.86,0.0,0.0,0.0,0,62.11,0
NER_2011_110,1199.0,515314.48,12145.85,82.0,0.0,0,17.0,10.0,24.0,1030.0,0,22.0,0,68990.18,0.0,0,32513.28,2060.25,20809.3,372755.31,0,12872.29,0,1626.08,0.0,0,766.33,48.56,490.47,8785.76,0,303.4,0
NER_2011_111,1125.0,480328.25,11321.25,81.0,0.0,0,16.0,2.0,18.0,987.0,0,13.0,0,70677.97,0.0,0,30390.51,547.72,18420.39,353323.96,0,4421.01,0,1665.87,0.0,0,716.3,12.91,434.17,8327.78,0,104.2,0
NER_2011_112,1017.0,438325.15,10331.29,60.0,0.0,0,17.0,10.0,21.0,875.0,0,22.0,0,49532.39,0.0,0,27473.75,2060.25,23939.98,315119.23,0,15512.68,0,1167.47,0.0,0,647.55,48.56,564.26,7427.34,0,365.63,0
NER_2011_113,858.0,381400.43,8989.61,57.0,0.0,0,6.0,0.0,13.0,770.0,0,4.0,0,56453.87,0.0,0,16037.98,0.0,24343.13,281169.66,0,748.71,0,1330.62,0.0,0,378.02,0.0,573.77,6627.17,0,17.65,0
NER_2011_114,1164.0,497808.41,11733.42,80.0,0.0,0,10.0,5.0,20.0,1029.0,0,12.0,0,70849.19,0.0,0,29614.14,1140.92,18138.24,370673.22,0,4846.02,0,1669.93,0.0,0,698.01,26.89,427.52,8736.83,0,114.22,0
NER_2011_115,1220.0,526360.7,12406.5,83.0,0.0,0,11.0,5.0,21.0,1079.0,0,13.0,0,75060.32,0.0,0,32402.86,1588.17,16872.13,390564.08,0,7326.46,0,1769.2,0.0,0,763.75,37.43,397.68,9205.73,0,172.69,0
NER_2011_116,1068.0,451058.68,10631.84,62.0,0.0,0,8.0,2.0,20.0,958.0,0,10.0,0,55337.44,0.0,0,26296.86,453.58,20414.45,342175.61,0,3834.06,0,1304.35,0.0,0,619.84,10.69,481.19,8065.37,0,90.37,0
NER_2011_117,1003.0,437663.02,10316.14,43.0,0.0,0,13.0,10.0,25.0,881.0,0,19.0,0,41883.6,0.0,0,24626.44,1659.54,32276.07,318198.84,0,14331.66,0,987.24,0.0,0,580.47,39.12,760.78,7500.26,0,337.81,0
NER_2011_118,948.0,420155.51,9903.6,37.0,0.0,0,11.0,9.0,25.0,835.0,0,19.0,0,38970.96,0.0,0,22941.09,1575.71,35376.34,302165.2,0,14439.34,0,918.6,0.0,0,540.75,37.14,833.87,7122.42,0,340.35,0
NER_2011_119,1021.0,432878.82,10203.56,53.0,0.0,0,7.0,1.0,21.0,921.0,0,10.0,0,49479.06,0.0,0,23463.62,377.03,21015.03,332302.65,0,3694.76,0,1166.29,0.0,0,553.07,8.89,495.35,7832.84,0,87.09,0
NER_2011_12,1.0,6145.44,144.26,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,6145.44,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,144.26,0.0,0,0.0,0
NER_2011_120,1.0,6707.65,158.11,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,6707.65,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,158.11,0.0,0.0,0.0,0,0.0,0
