id,building_count,building_area,building_density,residential_count,residential_area,residential_density,industry_count,industry_area,industry_density,education_count,education_area,education_density,health_count,health_area,health_density
NER_2018_0,0.0,0.0,0.0,1.0,972414.54,22612.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_1,1490.0,173905.11,4046.4,3.0,9382598.11,218313.09,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
NER_2018_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_101,7.0,788.86,18.57,6.0,1250865.12,29441.12,0.0,0.0,0.0,1.0,4352.14,102.43,0.0,0.0,0.0
NER_2018_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_103,0.0,0.0,0.0,1.0,66515.05,1565.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_104,3.0,239.81,5.65,12.0,294920.99,6943.25,0.0,0.0,0.0,1.0,5922.51,139.43,0.0,0.0,0.0
NER_2018_105,193.0,9829.49,231.42,5.0,1780925.9,41929.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_107,1200.0,65236.42,1535.97,22.0,507824.51,11956.59,0.0,0.0,0.0,2.0,4699.38,110.65,2.0,0.0,0.0
NER_2018_108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_109,5.0,326.72,7.69,24.0,333547.7,7853.83,0.0,0.0,0.0,6.0,11675.0,274.9,1.0,0.0,0.0
NER_2018_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER_2018_110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
