id,total_count,total_length,total_density,count_intersection,count_living_street,count_trunk,count_primary,count_pedestrian,count_track,count_tertiary,count_residential,count_service,count_secondary,length_intersection,length_living_street,length_trunk,length_primary,length_pedestrian,length_track,length_tertiary,length_residential,length_service,length_secondary,density_intersection,density_living_street,density_trunk,density_primary,density_pedestrian,density_track,density_tertiary,density_residential,density_service,density_secondary
NG_2012_0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_10,1.0,4276.82,96.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_100,1.0,1521.35,34.29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_101,34.0,42957.67,968.37,0,0.0,3.0,6.0,0.0,0.0,0.0,22.0,0.0,0.0,0,0.0,6828.42,9801.34,0.0,0.0,0.0,18863.58,0.0,0.0,0,0.0,153.93,220.95,0.0,0.0,0.0,425.23,0.0,0.0
NG_2012_102,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_103,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_104,5.0,17746.62,400.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_105,26.0,24415.17,550.46,0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,18043.65,2646.12,0.0,0.0,0.0,0.0,0.0,1072.9,0,0.0,406.81,59.66,0.0,0.0,0.0,0.0,0.0,24.19
NG_2012_106,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_107,5.0,12493.08,281.68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_108,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_109,31.0,34875.46,786.34,0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,19434.84,10667.47,0.0,0.0,0.0,0.0,0.0,2120.66,0,0.0,438.2,240.52,0.0,0.0,0.0,0.0,0.0,47.81
NG_2012_11,170.0,57632.51,1293.65,0,0.0,15.0,11.0,0.0,0.0,4.0,17.0,0.0,7.0,0,0.0,8875.7,2973.94,0.0,0.0,925.55,6139.61,0.0,911.24,0,0.0,199.23,66.75,0.0,0.0,20.78,137.81,0.0,20.45
NG_2012_110,4.0,12027.61,271.19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_111,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_112,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_113,41.0,40410.82,911.18,0,0.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,18740.91,15625.98,0.0,0.0,0.0,0.0,0.0,2120.66,0,0.0,422.57,352.33,0.0,0.0,0.0,0.0,0.0,47.82
NG_2012_114,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_115,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_116,3.0,7123.45,160.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_117,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_118,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_119,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_120,5.0,20597.93,464.62,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9180.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,207.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_121,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_122,1.0,6027.87,135.99,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6027.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_123,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_124,3.0,10036.67,226.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_125,4.0,15576.16,351.43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_126,276.0,143699.58,3242.21,0,0.0,2.0,0.0,0.0,0.0,0.0,238.0,0.0,2.0,0,0.0,3301.39,0.0,0.0,0.0,0.0,98278.87,0.0,2450.69,0,0.0,74.49,0.0,0.0,0.0,0.0,2217.41,0.0,55.29
NG_2012_127,4.0,17406.32,392.73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_128,1074.0,448159.43,10111.84,0,0.0,2.0,2.0,1.0,0.0,3.0,1034.0,0.0,6.0,0,0.0,2963.29,3853.53,234.79,0.0,4671.03,399843.71,0.0,13784.16,0,0.0,66.86,86.95,5.3,0.0,105.39,9021.69,0.0,311.01
NG_2012_129,4.0,9323.75,210.38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9323.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.38
NG_2012_13,353.0,153277.31,3440.7,0,0.0,21.0,45.0,0.0,0.0,4.0,126.0,0.0,14.0,0,0.0,12609.77,29349.83,0.0,0.0,925.55,53617.82,0.0,10460.67,0,0.0,283.06,658.83,0.0,0.0,20.78,1203.59,0.0,234.82
NG_2012_130,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_131,1211.0,465712.28,10508.68,0,0.0,1.0,9.0,1.0,0.0,7.0,1170.0,0.0,16.0,0,0.0,475.12,23601.75,280.14,0.0,8848.82,400882.81,0.0,24571.48,0,0.0,10.72,532.57,6.32,0.0,199.67,9045.82,0.0,554.45
NG_2012_132,1.0,3945.01,89.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_133,1361.0,502010.73,11328.62,0,0.0,5.0,13.0,0.0,1.0,5.0,1318.0,0.0,13.0,0,0.0,6141.19,20356.38,0.0,132.27,6419.77,435217.27,0.0,24031.56,0,0.0,138.59,459.37,0.0,2.98,144.87,9821.33,0.0,542.31
NG_2012_134,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_135,1.0,536.78,12.11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.11
NG_2012_136,937.0,368085.24,8307.17,0,0.0,0.0,2.0,0.0,0.0,1.0,914.0,0.0,4.0,0,0.0,0.0,10230.27,0.0,0.0,3794.35,338765.9,0.0,4378.52,0,0.0,0.0,230.88,0.0,0.0,85.63,7645.48,0.0,98.82
NG_2012_137,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_138,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_2012_139,293.0,94778.38,2139.32,0,0.0,19.0,18.0,0.0,0.0,1.0,92.0,0.0,31.0,0,0.0,12025.8,9915.38,0.0,0.0,409.4,22985.91,0.0,10141.79,0,0.0,271.44,223.81,0.0,0.0,9.24,518.83,0.0,228.92
NG_2012_14,12.0,23027.15,516.91,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,14368.82,0.0,0.0,0.0,0.0,0.0,8559.67,0,0.0,0.0,322.55,0.0,0.0,0.0,0.0,0.0,192.15
NG_2012_140,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
