id,total_count,total_length,total_density,count_trunk,count_residential,count_pedestrian,count_service,count_primary,count_intersection,count_secondary,count_living_street,count_track,count_tertiary,length_trunk,length_residential,length_pedestrian,length_service,length_primary,length_intersection,length_secondary,length_living_street,length_track,length_tertiary,density_trunk,density_residential,density_pedestrian,density_service,density_primary,density_intersection,density_secondary,density_living_street,density_track,density_tertiary
ETH_2013_0,1.0,3983.2,89.12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_10,2.0,12325.5,277.04,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6698.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150.55,0.0,0.0,0.0
ETH_2013_100,22.0,29848.54,675.88,0.0,11.0,0.0,0.0,4.0,0,1.0,0.0,0.0,5.0,0.0,10740.69,0.0,0.0,7738.64,0,3623.29,0.0,0.0,7702.86,0.0,243.21,0.0,0.0,175.23,0,82.04,0.0,0.0,174.42
ETH_2013_101,456.0,198313.16,4491.18,1.0,374.0,0.0,2.0,2.0,0,2.0,0.0,11.0,1.0,5305.72,115567.78,0.0,730.23,5576.51,0,3736.03,0.0,17148.12,189.07,120.16,2617.25,0.0,16.54,126.29,0,84.61,0.0,388.35,4.28
ETH_2013_102,11.0,18338.91,415.32,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4.0,0.0,7308.38,0.0,0.0,0.0,0,0.0,0.0,2104.13,8926.4,0.0,165.51,0.0,0.0,0.0,0,0.0,0.0,47.65,202.16
ETH_2013_103,12.0,23617.5,534.94,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0.0,8658.92,0.0,0.0,0.0,0,0.0,0.0,0.0,14958.58,0.0,196.13,0.0,0.0,0.0,0,0.0,0.0,0.0,338.82
ETH_2013_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_105,11.0,21658.42,490.59,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12523.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,283.68,0.0
ETH_2013_106,5.0,15167.85,343.58,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,121.94,8904.16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.76,201.7
ETH_2013_107,4.0,17535.47,397.21,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6997.62,0,0.0,0.0,1770.33,2762.86,0.0,0.0,0.0,0.0,158.51,0,0.0,0.0,40.1,62.58
ETH_2013_108,2.0,2113.87,47.88,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.99,0,898.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52,0,20.36,0.0,0.0,0.0
ETH_2013_109,1.0,10937.6,247.77,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10937.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.77,0,0.0,0.0,0.0,0.0
ETH_2013_11,1.0,7128.82,160.24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_110,1.0,7427.01,168.26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7427.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,168.26
ETH_2013_111,1.0,1328.03,30.09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1328.03,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,30.09
ETH_2013_112,8.0,15519.81,351.67,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,3026.07,0.0,0.0,0.0,0,0.0,0.0,12493.74,0.0,0.0,68.57,0.0,0.0,0.0,0,0.0,0.0,283.1,0.0
ETH_2013_113,2.0,6355.1,144.01,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6355.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,144.01,0.0
ETH_2013_114,3.0,12116.54,274.59,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12116.54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.59,0,0.0,0.0,0.0,0.0
ETH_2013_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_116,1.0,7622.29,172.76,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7622.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,172.76,0.0
ETH_2013_117,1.0,2476.88,56.14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2476.88,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,56.14
ETH_2013_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_119,4.0,12541.92,284.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7869.75,4672.17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,178.39,105.91
ETH_2013_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_120,2.0,7727.92,175.18,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7727.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.18,0,0.0,0.0,0.0,0.0
ETH_2013_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_122,1.0,9343.04,211.83,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9343.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.83,0,0.0,0.0,0.0,0.0
ETH_2013_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ETH_2013_124,30.0,26622.23,603.77,0.0,26.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1.0,0.0,10689.02,0.0,0.0,9972.16,0,0.0,0.0,0.0,3097.69,0.0,242.42,0.0,0.0,226.16,0,0.0,0.0,0.0,70.25
